stats/50,stats/Player,stats/Inns,stats/NO,stats/Runs,stats/HS,stats/Ave,stats/SR
37,V Kohli (IND),107,31,4008,122*,52.73,137.96
29,RG Sharma (IND),140,17,3853,118,31.32,139.24
20,MJ Guptill (NZ),118,7,3531,105,31.81,135.7
30,Babar Azam (PAK),94,13,3355,122,41.41,127.8
21,PR Stirling (IRE),120,9,3181,115*,28.65,134.78
19,AJ Finch (AUS),103,12,3120,172,34.28,142.53
24,DA Warner (AUS),99,11,2894,100*,32.88,141.3
23,Mohammad Rizwan (PAK),69,15,2635,104*,48.79,126.62
19,JC Buttler (ENG),95,20,2602,101*,34.69,144.23
14,Mohammad Hafeez (PAK),108,13,2514,99*,26.46,122.03
17,KS Williamson (NZ),85,11,2464,95,33.29,123.01
14,EJG Morgan (ENG),107,21,2458,91,28.58,136.17
9,Shoaib Malik (ICC/PAK),111,33,2435,75,31.21,125.64
22,KL Rahul (IND),68,8,2265,110*,37.75,139.12
12,Shakib Al Hasan (BAN),108,11,2243,84,23.12,121.76
10,GJ Maxwell (AUS),90,14,2159,145*,28.4,150.97
14,Q de Kock (SA),76,9,2156,79*,32.17,135.42
6,DA Miller (SA/World),96,34,2147,106*,34.62,144.19
13,BB McCullum (NZ),70,10,2140,123,35.66,136.21
6,Mahmudullah (BAN),113,23,2122,64*,23.57,117.3
12,AD Hales (ENG),75,8,2074,116*,30.95,138.35
12,Mohammad Shahzad (AFG),70,3,2015,118*,30.07,133.62
5,KJ O'Brien (IRE),103,10,1973,124,21.21,130.92
11,JP Duminy (SA),75,25,1934,96*,38.68,126.24
7,LRPL Taylor (NZ),94,21,1909,63,26.15,122.37
14,CH Gayle (WI),75,7,1899,117,27.92,137.5
13,TM Dilshan (SL),79,12,1889,104*,28.19,120.54
8,A Balbirnie (IRE),85,4,1857,83,22.92,124.88
7,RD Berrington (SCOT),72,14,1784,100,30.75,127.97
11,S Dhawan (IND),66,3,1759,92,27.92,126.36
7,Tamim Iqbal (BAN/ICC/World),78,5,1758,103*,24.08,116.96
14,DJ Malan (ENG),53,8,1748,103*,38.84,135.71
11,C Munro (NZ),62,7,1724,109*,31.34,156.44
8,Umar Akmal (PAK),79,14,1690,94,26.0,122.73
4,Mohammad Nabi (AFG),96,16,1686,89,21.07,140.03
13,SA Yadav (IND),46,10,1675,117,46.52,175.76
10,AB de Villiers (SA),75,11,1672,79*,26.12,135.16
11,H Masakadza (ZIM),66,2,1662,93*,25.96,117.2
2,MS Dhoni (IND),85,42,1617,56,37.6,126.13
10,MN Samuels (WI),65,10,1611,89*,29.29,116.23
5,SK Raina (IND),66,11,1605,101,29.18,134.87
8,Najibullah Zadran (AFG),76,25,1590,73,31.17,141.96
11,MP O'Dowd (NED),57,4,1589,133*,29.98,122.13
6,KA Pollard (WI),83,21,1569,75*,25.3,135.14
12,MDKJ Perera (SL),59,1,1539,84,26.53,131.31
10,F du Plessis (SA/World),50,7,1528,119,35.53,134.38
9,LMP Simmons (WI),67,10,1527,91*,26.78,120.8
8,JJ Roy (ENG),64,1,1522,78,24.15,137.61
6,Mushfiqur Rahim (BAN),93,16,1500,72*,19.48,115.03
6,KJ Coetzer (SCOT),68,2,1495,89,22.65,119.21
